bay,  H, G, F, E, D, C, B, A
2A ,  0, 0, 0, 0, 0, 0, 1, 1
2B ,  0, 0, 0, 0, 0, 1, 1, 1
2C ,  0, 0, 0, 1, 1, 1, 1, 1
3A ,  0, 0, 0, 0, 0, 0, 1, 1
3B ,  0, 0, 0, 0, 0, 1, 1, 1
3C ,  0, 0, 0, 1, 1, 1, 1, 1
4L ,  0, 1, 1, 1, 1, 1, 1, 0
4R ,  0, 0, 0, 1, 1, 1, 1, 0
5  ,  1, 1, 1, 1, 1, 1, 1, 0
6  ,  1, 1, 1, 1, 1, 1, 1, 0
7  ,  1, 1, 1, 1, 1, 1, 1, 0
8  ,  1, 1, 1, 1, 1, 1, 1, 0
9  ,  1, 1, 1, 1, 1, 1, 1, 0
10 ,  1, 1, 1, 1, 1, 1, 1, 0
11 ,  1, 1, 1, 1, 1, 1, 1, 0
12 ,  0, 0, 0, 1, 1, 1, 1, 0
13 ,  0, 0, 0, 1, 1, 1, 1, 0
14 ,  0, 0, 0, 1, 1, 1, 1, 0
15 ,  0, 0, 0, 1, 1, 1, 1, 0
16 ,  0, 0, 0, 1, 1, 1, 1, 0
17 ,  0, 1, 1, 1, 1, 1, 1, 0
18 ,  1, 1, 1, 1, 1, 1, 1, 0
19 ,  1, 1, 1, 1, 1, 1, 1, 0
20 ,  0, 0, 0, 1, 1, 1, 1, 0
J1 ,  1, 1, 1, 1, 1, 1, 1, 1
J2A,  0, 0, 0, 1, 1, 1, 1, 1
J2B,  0, 0, 0, 1, 1, 1, 1, 1
J3A,  0, 0, 0, 1, 1, 1, 1, 1
J3B,  0, 0, 0, 1, 1, 1, 1, 1
J4A,  0, 0, 0, 1, 1, 1, 1, 1
J4B,  0, 0, 0, 1, 1, 1, 1, 1
J5 ,  1, 1, 1, 1, 1, 1, 1, 1
J6 ,  0, 0, 0, 1, 1, 1, 1, 1
J7 ,  0, 0, 0, 1, 1, 1, 1, 1
J8 ,  0, 0, 0, 1, 1, 1, 1, 1
J9 ,  0, 0, 0, 1, 1, 1, 1, 1
H1 ,  0, 0, 0, 1, 1, 1, 1, 1
H2 ,  0, 0, 0, 1, 1, 1, 1, 1
H3 ,  0, 0, 0, 1, 1, 1, 1, 1
H4 ,  0, 0, 0, 1, 1, 1, 1, 1
H5 ,  0, 0, 0, 1, 1, 1, 1, 1
H6 ,  0, 0, 0, 1, 1, 1, 1, 1
H7 ,  0, 0, 0, 1, 1, 1, 1, 1
H8 ,  0, 0, 0, 1, 1, 1, 1, 1
H9 ,  0, 0, 0, 1, 1, 1, 1, 1
H10,  0, 0, 0, 1, 1, 1, 1, 1
SPV1, 0, 0, 0, 1, 1, 1, 1, 1
SPV2, 0, 0, 0, 1, 1, 1, 1, 1